id,created_on,operation,property_type,place_name,place_with_parent_names,country_name,state_name,geonames_id,lat_lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,description,title,image_thumbnail
c6bd9655ab214262f35dc01991e93257ef27a80e,14/10/2014,rent,apartment,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.4130559,-64.1635496",-31.4130559,-64.1635496,2500,ARS,4744.95,274.68,,,,,,,,http://www.properati.com.ar/j1jl_alquiler_departamento_cordoba,"CODIGO:  ubicado en: Av. 24 de Septiembre 1500 -  Publicado por: GUSTAVO ZARATE SERVICIOS INMOBILIARIOS. El precio es de ARS 2500. 1 dormitorio, baño, cocina separada, pequeño balcón, calefactor en el dormitorio, muy luminoso. . Publicado a través de Mapaprop",1 dormitorio Av. 24 de Septiembre al 1500,https://thumbs4.properati.com/4/EgZ85yu3sEnl75rr-S1KAuWgYtU=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/1283/67114/495963.jpg
271e03d0640ca794bd0c96185cbe6565e5cbb532,27/01/2015,rent,apartment,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-32.2492552,-62.6383524",-32.2492552,-62.6383524,3500,ARS,3804.01,220.21,,,,,,,,http://www.properati.com.ar/kl57_alquiler_departamentos_cordoba,"CODIGO: 928-AAA2 ubicado en: CONSTITUCION 515 -  Publicado por: ESTUDIO NADAL Y ASOCIADOS. El precio es de ARS 3500 null. HERMOSO Y AMPLIO DPTO, PLANTA BAJA, 2 AMPLIOS PATIOS, LAVADERO SEPARADO, COCINA COMEDOR SEPARADA, AMPLIOS PLACARES - APTO MASCOTAS, PERSONAS MAYORES . Publicado a través de Mapaprop","HERMOSO DPTO 1 DORM., 1 CUADRA PLAZA CENTRAL, PLANTA BAJA CON DOS PATIOS","https://thumbs4.properati.com/5/fw7PzqiMtqJIi1GmiGqYHRaB0wk=/trim/198x0/smart/filters:strip_icc()/maps.googleapis.com/maps/api/staticmap%3Fkey=AIzaSyCtB7aox9MJ3hCrd_u4KJ5N0v8syKusnaA&center=-32.2492552,-62.6383524&zoom=19&size=800x600&maptype=satellite&sensor=false"
3c270a1a138cdc8caec56effb996e466ddf32b7d,12/09/2014,rent,apartment,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.4058291,-64.166296",-31.4058291,-64.166296,2850,ARS,5390.5,312.05,,,,,,,,http://www.properati.com.ar/ihr7_alquiler_departamento_cordoba,"CODIGO:  ubicado en: ARMENIA 1500 -  Publicado por: MONICA GIRAUDO SERVICIOS INMOBILIARIOS. El precio es de ARS 2850. madryn 2-SE ALQUILA DEPARTAMENTO DE 1 DORMITORIO, COCINA SEPARADA, MUEBLE BAJO MESADA, ALACENA, CALEFON LIVING-COMEDOR, BAÑO CON BAÑERA Y BALCON ... FRENTE...EDIFICIO NUEVO EN MUY BUENA ZONA  . Publicado a través de Mapaprop",ALQUILER- DEPARTAMENTO  1 DORM Bº PUEYRREDON,https://thumbs4.properati.com/7/3hUY0xZYvBs9a0L2JZw5gUwnc7Y=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/2242/65404/478939.jpg
41ef61845ba4e05528569a1890520abc28409862,21/11/2014,rent,apartment,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.3866062,-64.216713",-31.3866062,-64.216713,1850,ARS,3459.04,200.24,,28,,66.07142857,,,,http://www.properati.com.ar/jru5_alquiler_departamento_cordoba,CODIGO:  ubicado en: AV CARAFFA ESQUINA GATO Y MANCHA -  Publicado por: INMOBILIARIA REYNA NOVILLO. El precio es de ARS 1850. PLANTA ALTA  MONOAMBIENTE DORMITORIO KITCHENET  Y BAÑO MUY LUMINOSO $ 1850 CON IMP INCL REYNA NOVILLO 4823436  155338655 . Publicado a través de Mapaprop,VILLA CABRERA - MONOAMBIENTE -  Av CARAFFA ALQUILO,"https://thumbs4.properati.com/9/_bLCgo7EEuQaUjBWo-St8BH2Riw=/trim/198x0/smart/filters:strip_icc()/maps.googleapis.com/maps/api/staticmap%3Fkey=AIzaSyCtB7aox9MJ3hCrd_u4KJ5N0v8syKusnaA&center=-31.3866062,-64.216713&zoom=19&size=800x600&maptype=satellite&sensor=false"
565382b9fb48cebf10820a8010fa33ff1ffa195b,02/12/2014,rent,house,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.4016324,-64.1678943",-31.4016324,-64.1678943,7500,ARS,14245.07,824.63,,400,,18.75,,,,http://www.properati.com.ar/jx35_alquiler_casa_cordoba,"CODIGO:  ubicado en: ROMA 1300 -  Publicado por: MONICA GIRAUDO SERVICIOS INMOBILIARIOS. El precio es de ARS 7500. CASA DE 3 DORMITORIOS ,(1 CON PLACARD).,LIVING COMEDOR GRANDE, PATIO DE INVIERNO , COCINA COMEDOR GRANDE , CON MUEBLES BAJO MESADA Y ALACENA 2 BAÑOS (UNO COMPLETO) LAVADERO CUBIERO COMPLETO, PATIO CHICO, GARAGE DOBLE PASANTE ,TERRAZA156200081  . Publicado a través de Mapaprop",ALQUILER__Bº PUEYRREDON CASA 3 DORM.(roma 1300),https://thumbs4.properati.com/2/XpLMkJyw06GjydwQnTrtMjaAXMM=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/2242/70479/528884.jpg
d14177a448001316811cd500948b40d5533c92e9,21/01/2015,rent,apartment,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.3216746,-64.2682395",-31.3216746,-64.2682395,1000,ARS,1277.96,73.98,25,25,2.9592,40,,,,http://www.properati.com.ar/kj3m_alquiler_departamentos_cordoba,"Monoambiente en planta baja y otro en planta alta. Características: Monoambiente con muy buena ventilación e iluminación, a pocas cuadras (seis) del Paseo Rivera Indarte, equipado  con bajo mesada, artefacto cocina, termotanque. Gas envasado, excelente vista y con entorno natural. Techos y pisos de madera en planta alta y techo y pisos de cerámicos en planta baja. Baño completo. Alquiler con impuestos: $ 1000. No se cobran expensas. Estacionamiento Libre.",ALQUILO MONOAMBIENTE A ESTRENAR. Dormitorio. 25 m2. 25 m2c,https://thumbs4.properati.com/5/RKcNCT9spNVEXZwdXP3zrPKZAYA=/trim/198x0/smart/filters:strip_icc()/inmokey-media.s3-website-sa-east-1.amazonaws.com/properties/8/8/88aa9f7639d7a791cf1560e821f7315e.jpg
873ab0e19dcbd1ed0737295fe3f8e6fb7cb76433,23/12/2014,rent,store,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.411545,-64.1991735",-31.411545,-64.1991735,1700,ARS,1703.43,98.61,,20,,85,,,,http://www.properati.com.ar/k5bi_alquiler_local_cordoba,"CODIGO:  ubicado en: DEAN FUNES 1100 -  Publicado por: TISSOT GESTIONES INMOBILIARIAS. El precio es de ARS 1700 Por mes. LOCAL COMERCIAL 4X5 CORTINA METALICA AUTOMATICA, FRENTE VIDRIADO, SALON CON COCINA Y BAÑO. NO APTO GASTRONOMICO. . Publicado a través de Mapaprop",LOCAL COMERCIAL ALQUILER,"https://thumbs4.properati.com/4/Scv3sRaOB81wuWyKYzn110wuzG4=/trim/198x0/smart/filters:strip_icc()/maps.googleapis.com/maps/api/staticmap%3Fkey=AIzaSyCtB7aox9MJ3hCrd_u4KJ5N0v8syKusnaA&center=-31.411545,-64.1991735&zoom=19&size=800x600&maptype=satellite&sensor=false"
3ee9ea0e8ec79637d8cbcf837622fdebf5ff4544,29/09/2014,rent,apartment,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.4041271,-64.2349457",-31.4041271,-64.2349457,2500,ARS,4744.95,274.68,,,,,,,,http://www.properati.com.ar/iv7b_alquiler_departamento_cordoba,"CODIGO:  ubicado en: DUARTE QUIROZ -  Publicado por: GUSTAVO ZARATE SERVICIOS INMOBILIARIOS. El precio es de ARS 2500. 1 DORMITORIO AMPLIO, TERMO, ANAFE O COCINA, BAÑO, MUY CÓMODO Y AMPLIO . Publicado a través de Mapaprop",1 DORMITORIO AMPLIO EN DUARTE QUIROZ 800,https://thumbs4.properati.com/3/5GzxNL4NwbUaro4Lw6Ho1jtuCdk=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/1283/66463/489262.jpg
fb002b66705efdf25ef8e333ae9574bf9df92e67,27/11/2014,rent,store,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.3258991,-64.2678528",-31.3258991,-64.2678528,3500,ARS,6448.22,373.28,,,,,,,,http://www.properati.com.ar/ju4k_alquiler_local_cordoba,"CODIGO: 2420-789 ubicado en: Donato Alvarez -  Publicado por: MAXIMILIANO CASTAÑOS NEGOCIOS INMOBILIARIOS. El precio es de ARS 3500. EL LOCAL ESTA UBICADO A 50 METROS DE STATUS SOBRE LA AV. DONATO ALVAREZ, ZONA MUY COMERCIAL, CON DISTINTOS RUBROS, ES APTO A TODO RUBRO, EL LOCAL SE ENTREGA RECIEN PINTADO, INCLUIDA LA CORTINA DE ENROLLAR METALICA QUE TAMBIEN SE PINTA. COORDINAR VISITA AL 69136 . Publicado a través de Mapaprop",Local en Alquiler Villa Allende Parque,https://thumbs4.properati.com/2/s0NVvwEYNPdD4hZUXSZeUvr76Jc=/trim/198x0/smart/filters:strip_icc()/images.mapapropapp.com/mapaprop-images/photos/2420/69325/517536.jpg
936fbdbc7d1797f0075ee22f68e7c325ddfc748c,29/08/2014,rent,store,Córdoba,|Argentina|Córdoba|,Argentina,Córdoba,3860255,"-31.3708126453,-64.2314543217",-31.37081265,-64.23145432,5500,ARS,6282.21,363.67,,70,,78.57142857,,,,http://www.properati.com.ar/ibjw_alquiler_local_cordoba,"CODIGO:  ubicado en: Av Nuñez 4000 -  Publicado por: INMOBILIARIA REYNA NOVILLO. El precio es de ARS 5500. EXC UBICACION, AMPLIA VIDRIERA A MTS DE AV NUÑEZ, SALON APROX 70 MTS CUBIERTOS, KITCHEN, BAÑO, DEPOSITO  $5500 REYNA NOVILLO 4823436  - 155338655 . Publicado a través de Mapaprop",LOCAL COMERCIAL A MTS . AV NUÑEZ AMPLIA VIDRIERA,https://thumbs4.properati.com/5/r5yPhpcveILBHZo8UXWfEWu43I4=/trim/198x0/smart/filters:strip_icc()/d1bf9450olmfgx.cloudfront.net/photos/1988/64645/471345.jpg
